A,,,,
Bondowoso,Jawa Timur,Daop IX Jember,BO,Museum
Bonosare,Jawa Timur,Daop IX Jember,BNS,Tidak beroperasi
Bowerno,Jawa Timur,Daop VIII Surabaya,BWO,Beroperasi
Boyolali,Jawa Tengah,Daop VI Yogyakarta,BI,Tidak beroperasi
Brambanan,Jawa Tengah,Daop VI Yogyakarta,BBN,Beroperasi
Brebes,Jawa Tengah,Daop III Cirebon,BB,Beroperasi
Bringin,Jawa Tengah,Daop IV Semarang,BRI,Tidak beroperasi
Brosot,D.I Yogyakarta,Daop VI Yogyakarta,-,Tidak beroperasi
Brumbung,Jawa Tengah,Daop IV Semarang,BBG,Beroperasi
Buaran,DKI Jakarta,Daop I Jakarta,BUA,Beroperasi
Buduran,Jawa Timur,Daop VIII Surabaya,BDR,Tidak beroperasi
Bulakamba,Jawa Tengah,Daop III Cirebon,BKA,Tidak beroperasi
Bululawang,Jawa Timur,Daop VIII Surabaya,BLL,Tidak beroperasi
Bulumanis,Jawa Tengah,Daop IV Semarang,BIS,Tidak beroperasi
Bumiayu,Jawa Tengah,Daop V Purwokerto,BMA,Beroperasi
"Bumiwaluya
d.h. Malangbong",Jawa Barat,Daop II Bandung,BMW,Beroperasi
Butuh,Jawa Tengah,Daop V Purwokerto,BTH,Beroperasi
Buwek,Jawa Timur,Daop IX Jember,BWK,Tidak beroperasi
Buyaran,Jawa Tengah,Daop IV Semarang,BYA,Tidak beroperasi
C,,,,
Nama stasiun,Provinsi,Daerah operasi/Divisi regional,Singkatan stasiun,Status
Cakung,DKI Jakarta,Daop I Jakarta,CUK,Beroperasi
Campurdarat,Jawa Timur,Daop VII Madiun,CPT,Tidak beroperasi
Candi Umbul,Jawa Tengah,Daop VI Yogyakarta,CAI,Tidak beroperasi
Cangkring,Jawa Barat,Daop III Cirebon,CNK,Beroperasi
Caruban,Jawa Timur,Daop VII Madiun,CRB,Beroperasi
Catang,Banten,Daop I Jakarta,CT,Beroperasi
Cawang,DKI Jakarta,Daop I Jakarta,CW,Beroperasi
Celangap,Jawa Timur,Daop VIII Surabaya,CEA,Tidak beroperasi
"Ceper
d.h. Tjepper",Jawa Tengah,Daop VI Yogyakarta,CE,Beroperasi
"Cepu
d.h. Tjepu NIS",Jawa Tengah,Daop IV Semarang,CU,Beroperasi
"Cepu Kota
d.h. Tjepu SJS",Jawa Tengah,Daop IV Semarang,CEK,Tidak beroperasi
Cerme,Jawa Timur,Daop VIII Surabaya,CME,Beroperasi
Ciamis,Jawa Barat,Daop II Bandung,CI,Beroperasi
Cianjur,Jawa Barat,Daop II Bandung,CJ,Beroperasi
Ciawi,Jawa Barat,Daop II Bandung,CAW,Beroperasi
Cibadak,Jawa Barat,Daop I Jakarta,CBD,Beroperasi
Cibangkong,Jawa Barat,Daop II Bandung,CBK,Tidak beroperasi
Cibangkonglor,Jawa Barat,Daop II Bandung,CBL,Tidak beroperasi
Cibatu,Jawa Barat,Daop II Bandung,CB,Beroperasi
Cibeber,Jawa Barat,Daop II Bandung,CBB,Beroperasi
Cibinong,Jawa Barat,Daop I Jakarta,CBG,Beroperasi
Cibitung,Jawa Barat,Daop I Jakarta,CIT,Beroperasi
Cibungur,Jawa Barat,Daop II Bandung,CBR,Beroperasi
Cicalengka,Jawa Barat,Daop II Bandung,CCL,Beroperasi
