,0,1,2,3,4
44,,60  Cirebon Prujakan (CNP),Ls,02:26:00,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,61  Cirebon (CN),,02:29:00,02:32:00,
2,62  Cangkring (CNK),,Ls,02:38:00,
3,63  Bangoduwa (BDW),,Ls,02:41:00,
4,,64  Arjawinangun (AWN),Ls,02:44:00,
5,,65  Kertasemaya (KTM),Ls,02:53:00,
6,66,Jatibarang (JTB),Ls,02:58:00,// KA 149 (KA 149 =)
7,67,Telagasari (TLS),Ls,03:04:00,
8,68,Terisi (TIS),Ls,03:09:00,
9,,69  Kadokangabus (KAB),Ls,03:13:00,
10,70  Cilegeh (CLH),,Ls,03:18:00,
11,71  Haurgeulis (HGL),,Ls,03:24:00,
12,72  Cipunegara (CRA),,Ls,03:28:00,
13,73,Pegadenbaru (PGB),Ls,03:33:00,
14,74  Cikaum (CKM),,Ls,03:38:00,
15,75,Pasirbungur (PAS),Ls,03:41:00,
16,76,Pringkasap (PRI),Ls,03:44:00,
17,77,Pabuaran (PAB),Ls,03:47:00,
18,78,Tanjungrasa (TJS),Ls,03:50:00,
19,79  Cikampek (CKP),,Ls,03:57:00,
20,80  Dawuan (DWN),,Ls,04:00:00,
21,81  Kosambi (KOS),,Ls,04:04:00,
22,82  Klari (KLI),,Ls,04:06:00,
23,83  Karawang (KW),,Ls,04:10:00,
24,,84  Kedunggedeh (KDH),Ls,04:14:00,
25,85,Lemahabang (LMB),Ls,04:19:00,
26,86  Cikarang (CKR),,Ls,04:22:00,
27,87,Telaga Murni (TLM),Ls,-,
28,88  Cibitung (CIT),,Ls,-,
29,89,Tambun (TB),Ls,04:29:00,// KA 5027 (KA 5027 =)
30,,90  Bekasitimur (BKST),Ls,-,
31,91  Bekasi (BKS),,Ls,04:34:00,
32,92,Jatinegara (JNG),Ls,04:45:00,
33,93  Matraman (MTR),,Ls,-,
34,94  Manggarai (MRI),,Ls,04:50:00,
35,95  Cikini (CKI),,Ls,-,
36,96  Gondangdia (GDD),,Ls,-,
37,97  Gambir (GMR),,05:00:00,,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,1,Gambir (GMR),,20:30:00,
2,2,Gondangdia (GDD),Ls,-,
3,3,Cikini (CKI),Ls,-,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,4,Manggarai (MRI),Ls,20:39:00,
2,5,Matraman (MTR),Ls,-,
3,6,Jatinegara (JNG),Ls,20:44:00,
4,7,Bekasi (BKS),Ls,20:54:00,
5,8,Bekasitimur (BKST),Ls,-,
6,9,Tambun (TB),Ls,20:59:00,// KA 6066 (KA 6066 =)
7,10  Cibitung (CIT),,Ls,-,
8,11,Telaga Murni (TLM),Ls,-,
9,12  Cikarang (CKR),,Ls,21:05:00,
