0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Kutoarjo (KTA),,13:50:00,
2,Butuh (BTH),Ls,13:55:00,
3,Prembun (PRB),Ls,13:59:00,
4,Kutowinangun (KWN),Ls,14:03:00,
,5  Wonosari (WNS),Ls,14:05:00,
6,Kebumen (KM),14:10:00,14:12:00,
7,Sruweng (SRW),Ls,14:19:00,
8,Karanganyar (KA),Ls,14:21:00,
9,Gombong (GB),14:28:00,14:30:00,
10,Ijo (IJ),Ls,14:36:00,
11,Tambak (TBK),Ls,14:39:00,
12,Sumpiuh (SPH),Ls,14:42:00,
13  Kemranjen (KJ),,Ls,14:45:00,
14  Kroya (KYA),,14:51:00,14:54:00,
15  Randegan (RDN),,Ls,15:01:00,
16  Kebasen (KBS),,Ls,15:04:00,
17  Notog (NTG),,Ls,15:09:00,
18,Purwokerto (PWT),15:17:00,15:22:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
,19  Karanggandul (KGD),Ls,15:30:00,
20  Karangsari (KRR),,Ls,15:39:00,
21,Patuguran (PAT),Ls,15:50:00,
22  Kretek (KRT),,Ls,15:56:00,
23  Bumiayu (BMA),,Ls,16:03:00,
24,Linggapura (LG),Ls,16:10:00,
25,Prupuk (PPK),Ls,16:20:00,
26,Songgom (SGG),Ls,16:27:00,
27,Larangan (LRA),Ls,16:31:00,
,28  Ketanggungan (KGG),Ls,16:36:00,
29  Ciledug (CLD),,Ls,16:45:00,
30,Sindanglaut (SDU),Ls,16:54:00,
31,Luwung (LWG),Ls,16:59:00,
,32  Cirebon Prujakan (CNP),Ls,17:04:00,
33  Cirebon (CN),,17:07:00,17:12:00,
34  Cangkring (CNK),,Ls,17:19:00,
35  Bangoduwa (BDW),,Ls,17:22:00,
,36  Arjawinangun (AWN),Ls,17:25:00,
,37  Kertasemaya (KTM),Ls,17:34:00,
38,Jatibarang (JTB),Ls,17:39:00,
39,Telagasari (TLS),Ls,17:45:00,
40,Terisi (TIS),Ls,17:50:00,
,41  Kadokangabus (KAB),Ls,17:54:00,
42  Cilegeh (CLH),,Ls,17:59:00,
43  Haurgeulis (HGL),,Ls,18:05:00,
44  Cipunegara (CRA),,Ls,18:09:00,
45,Pegadenbaru (PGB),Ls,18:14:00,
46  Cikaum (CKM),,Ls,18:19:00,
47,Pasirbungur (PAS),Ls,18:23:00,
48,Pringkasap (PRI),Ls,18:27:00,
49,Pabuaran (PAB),Ls,18:30:00,
50,Tanjungrasa (TJS),Ls,18:33:00,
51  Cikampek (CKP),,Ls,18:40:00,
52  Dawuan (DWN),,Ls,18:43:00,
53  Kosambi (KOS),,Ls,18:47:00,// KA 333 (KA 333 =)
54  Klari (KLI),,Ls,18:49:00,
55  Karawang (KW),,Ls,18:53:00,
,56  Kedunggedeh (KDH),Ls,18:57:00,
57,Lemahabang (LMB),Ls,19:03:00,
58  Cikarang (CKR),,Ls,19:06:00,
59,Telaga Murni (TLM),Ls,-,
60  Cibitung (CIT),,Ls,-,
61,Tambun (TB),Ls,19:12:00,// KA 5173 (KA 5173 =)
,62  Bekasitimur (BKST),Ls,-,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
63  Bekasi (BKS),,Ls,19:18:00,
64,Jatinegara (JNG),19:28:00,19:30:00,
