,0,1,2,3,4,5,6,7
19,155,154,KA EKSEKUTIF EKONOMI,RANGGAJATI,CN-SGU,07:00:00,16:27:00,319
20,156,155,KA EKSEKUTIF EKONOMI,RANGGAJATI,SGU-JR,16:58:00,20:25:00,321
21,157,158,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,CP-SGU,15:20:00,23:18:00,324
22,158,159,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,SGU-KTG,23:48:00,05:40:00,325
23,159,160,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,KTG-SGU,11:00:00,16:53:00,327
24,160,157,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,SGU-CP,17:20:00,01:11:00,328
25,161,161,KA EKSEKUTIF EKONOMI,BANGUNKARTA,JG-PSE,06:55:00,18:33:00,331
26,162,162,KA EKSEKUTIF EKONOMI,BANGUNKARTA,PSE-JG,12:25:00,23:50:00,333
27,163,163,KA EKSEKUTIF EKONOMI,GUMARANG,SBI-PSE,15:00:00,01:10:00,338
28,164,164,KA EKSEKUTIF EKONOMI,GUMARANG,PSE-SBI,21:30:00,07:58:00,340
29,165,165,KA EKSEKUTIF EKONOMI,DHARMAWANGSA EKSPRES,SBI-PSE,23:00:00,09:20:00,344
30,166,166,KA EKSEKUTIF EKONOMI,DHARMAWANGSA EKSPRES,PSE-SBI,08:10:00,19:38:00,346
31,167,167,KA EKSEKUTIF EKONOMI,KERTANEGARA,ML-PWT,08:25:00,17:22:00,350
32,168,168,KA EKSEKUTIF EKONOMI,KERTANEGARA,PWT-ML,18:40:00,03:10:00,351
33,169,169,KA EKSEKUTIF EKONOMI,MALIOBORO EKSPRES,ML-PWT,19:30:00,04:05:00,355
34,170,170,KA EKSEKUTIF EKONOMI,MALIOBORO EKSPRES,PWT-ML,08:20:00,17:30:00,356
35,171,171,KA EKSEKUTIF EKONOMI,CIREMAI,SMT-CKP,07:55:00,12:51:00,360
36,172,174,KA EKSEKUTIF EKONOMI,CIREMAI,CKP-BD,13:20:00,15:12:00,361
37,173,173,KA EKSEKUTIF EKONOMI,CIREMAI,BD-CKP,16:55:00,18:45:00,361
38,174,172,KA EKSEKUTIF EKONOMI,CIREMAI,CKP-SMT,19:10:00,00:00:00,362
39,175,175,KA EKSEKUTIF EKONOMI,MENOREH,SMT-PSE,06:30:00,12:31:00,365
40,176,176,KA EKSEKUTIF EKONOMI,MENOREH,PSE-SMT,13:35:00,19:22:00,366
41,177,177,KA EKSEKUTIF EKONOMI,MENOREH,SMT-PSE,23:40:00,05:48:00,368
42,178,178,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,PSE-SMT,06:45:00,12:53:00,371
43,179,179,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,SMT-PSE,14:15:00,19:52:00,372
44,180,180,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,PSE-SMT,23:50:00,05:40:00,374
45,181,181,KA EKSEKUTIF EKONOMI,KAMANDAKA,PWT-TG,05:10:00,07:09:00,377
46,182,182,KA EKSEKUTIF EKONOMI,KAMANDAKA,TG-SMT,07:15:00,09:42:00,377
47,183,183,KA EKSEKUTIF EKONOMI,KAMANDAKA,SMT-TG,10:40:00,13:21:00,377
2,184,184,KA EKSEKUTIF EKONOMI,KAMANDAKA,TG-PWT,13:33:00,15:28:00,378
3,185,191,KA EKSEKUTIF EKONOMI,KAMANDAKA,SMT-TG,18:20:00,20:37:00,378
4,186,190,KA EKSEKUTIF EKONOMI,KAMANDAKA,TG-PWT,20:42:00,22:34:00,379
5,187,194,KA EKSEKUTIF EKONOMI,KAMANDAKA,CP-KYA,13:05:00,13:50:00,379
6,188,195,KA EKSEKUTIF EKONOMI,KAMANDAKA,KYA-TG,14:10:00,16:30:00,380
7,189,196,KA EKSEKUTIF EKONOMI,KAMANDAKA,TG-SMT,16:36:00,18:46:00,380
8,190,197,KA EKSEKUTIF EKONOMI,KAMANDAKA,SMT-TG,06:00:00,08:08:00,381
9,191,198,KA EKSEKUTIF EKONOMI,KAMANDAKA,TG-KYA,08:11:00,10:29:00,381
10,192,199,KA EKSEKUTIF EKONOMI,KAMANDAKA,KYA-CP,10:59:00,11:48:00,382
11,193,185,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,PWT-TG,17:30:00,19:25:00,384
12,194,186,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,TG-SLO,19:29:00,00:16:00,384
13,195,187,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,SLO-TG,05:10:00,09:41:00,385
14,196,188,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,TG-SLO,09:47:00,15:34:00,386
15,197,189,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,SLO-SMT,15:50:00,18:02:00,387
