,ka_number,class_name,train_name,departure_time,arrival_time,origin_station_code,destination_station_code,origin_station_name,destination_station_name
120,121,KA EKSEKUTIF EKONOMI,CAKRABUANA,05:30:00,10:24:00,PWT,GMR,Purwokerto,Gambir
121,122,KA EKSEKUTIF EKONOMI,CAKRABUANA,10:50:00,13:50:00,GMR,CN,Gambir,Cirebon
122,123,KA EKSEKUTIF EKONOMI,CAKRABUANA,16:00:00,18:43:00,CN,GMR,Cirebon,Gambir
123,124,KA EKSEKUTIF EKONOMI,CAKRABUANA,19:10:00,00:08:00,GMR,PWT,Gambir,Purwokerto
124,125F,KA EKSEKUTIF EKONOMI,CHERIBON FAKULTATIF,20:30:00,23:24:00,CN,GMR,Cirebon,Gambir
125,126F,KA EKSEKUTIF EKONOMI,CHERIBON FAKULTATIF,23:55:00,02:50:00,GMR,CN,Gambir,Cirebon
126,127,KA EKSEKUTIF EKONOMI,PANGANDARAN,17:00:00,01:10:00,BJR,GMR,Banjar,Gambir
127,128,KA EKSEKUTIF EKONOMI,PANGANDARAN,08:30:00,16:08:00,GMR,BJR,Gambir,Banjar
128,129,KA EKSEKUTIF EKONOMI,PAPANDAYAN,12:40:00,18:00:00,GRT,GMR,Garut,Gambir
129,130,KA EKSEKUTIF EKONOMI,PAPANDAYAN,06:35:00,11:45:00,GMR,GRT,Gambir,Garut
130,131,KA EKSEKUTIF EKONOMI,PARAHYANGAN,05:00:00,08:00:00,BD,GMR,Bandung,Gambir
131,132,KA EKSEKUTIF,PARAHYANGAN,07:30:00,10:21:00,GMR,BD,Gambir,Bandung
132,133,KA EKSEKUTIF,PARAHYANGAN,11:05:00,14:12:00,BD,GMR,Bandung,Gambir
133,134,KA EKSEKUTIF EKONOMI,PARAHYANGAN,18:25:00,21:20:00,GMR,BD,Gambir,Bandung
134,135,KA EKSEKUTIF EKONOMI,PARAHYANGAN,06:35:00,09:40:00,BD,GMR,Bandung,Gambir
135,136,KA EKSEKUTIF EKONOMI,PARAHYANGAN,10:05:00,13:18:00,GMR,BD,Gambir,Bandung
136,137,KA EKSEKUTIF EKONOMI,PARAHYANGAN,13:05:00,16:04:00,BD,GMR,Bandung,Gambir
137,138,KA EKSEKUTIF,PARAHYANGAN,09:15:00,12:18:00,GMR,BD,Gambir,Bandung
138,139,KA EKSEKUTIF,PARAHYANGAN,19:25:00,22:24:00,BD,GMR,Bandung,Gambir
139,140,KA EKSEKUTIF,PARAHYANGAN,23:05:00,02:02:00,GMR,BD,Gambir,Bandung
140,141F,KA EKSEKUTIF,PARAHYANGAN FAKULTATIF,10:25:00,13:13:00,BD,GMR,Bandung,Gambir
141,142F,KA EKSEKUTIF,PARAHYANGAN FAKULTATIF,13:40:00,16:42:00,GMR,BD,Gambir,Bandung
142,143,KA EKSEKUTIF EKONOMI,MADIUN JAYA,08:00:00,17:03:00,MN,PSE,Madiun,Pasar Senen
143,144,KA EKSEKUTIF EKONOMI,MADIUN JAYA,21:10:00,06:05:00,PSE,MN,Pasar Senen,Madiun
144,146,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,12:10:00,22:15:00,PSE,SBI,Pasar Senen,Surabaya Pasarturi
145,147,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,22:25:00,04:40:00,SBI,KTG,Surabaya Pasarturi,Ketapang (Banyuwangi)
146,148,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,15:45:00,21:57:00,KTG,SBI,Ketapang (Banyuwangi),Surabaya Pasarturi
147,145,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,22:10:00,08:16:00,SBI,PSE,Surabaya Pasarturi,Pasar Senen
148,149,KA EKSEKUTIF EKONOMI,SINGASARI,16:40:00,05:33:00,BL,PSE,Blitar,Pasar Senen
149,150,KA EKSEKUTIF EKONOMI,SINGASARI,21:55:00,11:30:00,PSE,BL,Pasar Senen,Blitar
150,151,KA EKSEKUTIF EKONOMI,BRANTAS,12:55:00,01:40:00,BL,PSE,Blitar,Pasar Senen
151,152,KA EKSEKUTIF EKONOMI,BRANTAS,14:10:00,03:15:00,PSE,BL,Pasar Senen,Blitar
