,id,province_id,name,alt_name,latitude,longitude
350,6309,63,KABUPATEN TABALONG,KABUPATEN TABALONG,-1.88333,115.5
351,6310,63,KABUPATEN TANAH BUMBU,KABUPATEN TANAH BUMBU,-3.45413,115.70372
352,6311,63,KABUPATEN BALANGAN,KABUPATEN BALANGAN,-2.32314,115.62922
353,6371,63,KOTA BANJARMASIN,KOTA BANJARMASIN,-3.32444,114.59102
354,6372,63,KOTA BANJAR BARU,KOTA BANJAR BARU,-3.41667,114.83333
355,6401,64,KABUPATEN PASER,KABUPATEN PASER,-1.43517,116.23535
356,6402,64,KABUPATEN KUTAI BARAT,KABUPATEN KUTAI BARAT,-0.5941700000000001,115.51575
357,6403,64,KABUPATEN KUTAI KARTANEGARA,KABUPATEN KUTAI KARTANEGARA,-0.44019,116.98139
358,6404,64,KABUPATEN KUTAI TIMUR,KABUPATEN KUTAI TIMUR,1.03769,117.83112
359,6405,64,KABUPATEN BERAU,KABUPATEN BERAU,2.0,117.3
360,6409,64,KABUPATEN PENAJAM PASER UTARA,KABUPATEN PENAJAM PASER UTARA,-1.25,116.83333
361,6411,64,KABUPATEN MAHAKAM HULU,KABUPATEN MAHAKAM HULU,0.37822000000000006,115.38048
362,6471,64,KOTA BALIKPAPAN,KOTA BALIKPAPAN,-1.16667,116.88333
363,6472,64,KOTA SAMARINDA,KOTA SAMARINDA,-0.43333000000000005,117.18333
364,6474,64,KOTA BONTANG,KOTA BONTANG,0.12526,117.49603
365,6501,65,KABUPATEN MALINAU,KABUPATEN MALINAU,2.45,115.68333
366,6502,65,KABUPATEN BULUNGAN,KABUPATEN BULUNGAN,3.0,117.16667
367,6503,65,KABUPATEN TANA TIDUNG,KABUPATEN TANA TIDUNG,3.55,117.25
368,6504,65,KABUPATEN NUNUKAN,KABUPATEN NUNUKAN,4.13333,116.7
369,6571,65,KOTA TARAKAN,KOTA TARAKAN,3.36667,117.6
370,7101,71,KABUPATEN BOLAANG MONGONDOW,KABUPATEN BOLAANG MONGONDOW,0.75,124.08333
371,7102,71,KABUPATEN MINAHASA,KABUPATEN MINAHASA,1.2537,124.83
372,7103,71,KABUPATEN KEPULAUAN SANGIHE,KABUPATEN KEPULAUAN SANGIHE,3.5,125.55
373,7104,71,KABUPATEN KEPULAUAN TALAUD,KABUPATEN KEPULAUAN TALAUD,4.31178,126.78085
374,7105,71,KABUPATEN MINAHASA SELATAN,KABUPATEN MINAHASA SELATAN,1.21291,124.59708
375,7106,71,KABUPATEN MINAHASA UTARA,KABUPATEN MINAHASA UTARA,1.4025,124.96
376,7107,71,KABUPATEN BOLAANG MONGONDOW UTARA,KABUPATEN BOLAANG MONGONDOW UTARA,0.78527,123.41766
377,7108,71,KABUPATEN SIAU TAGULANDANG BIARO,KABUPATEN SIAU TAGULANDANG BIARO,2.11728,125.37512
378,7109,71,KABUPATEN MINAHASA TENGGARA,KABUPATEN MINAHASA TENGGARA,1.05633,124.7925
379,7110,71,KABUPATEN BOLAANG MONGONDOW SELATAN,KABUPATEN BOLAANG MONGONDOW SELATAN,0.40912000000000004,123.75961
